호관,호관명,건물코드,층수,호수,강의실명
1,대학본부,,B1,B101,종합상황실
1,대학본부,,B1,B103,기사대기실
1,대학본부,,B1,B104,A기사대기실
1,대학본부,,B1,B104,종합문서고
1,대학본부,,B1,B109,홈페이지용역
1,대학본부,,1,101,입학관리과
1,대학본부,,1,102,상담실
1,대학본부,,1,103,입학본부장실
1,대학본부,,1,104,교무과(학사지원파트)
1,대학본부,,1,104-1,국제교류원장실
1,대학본부,,1,105,창고
1,대학본부,,1,107,국제지원센터
1,대학본부,,1,S104,인터내셔널 라운지
1,대학본부,,1,S105,인터내셔널 라운지
1,대학본부,,1,S106,인터내셔널 라운지
1,대학본부,,1,S107,인터내셔널 라운지
1,대학본부,,2,201,캠퍼스기획안전과/캠퍼스관리팀/중대재해예방팀
1,대학본부,,2,205,회의실
1,대학본부,,2,209,회의실
1,대학본부,,2,210,교무처장실
1,대학본부,,2,211,상설감사장
1,대학본부,,2,213,감사팀
1,대학본부,,2,214,교무과
1,대학본부,,2,S202,회의실
1,대학본부,,2,S203,회의실
1,대학본부,,3,301,재무회계팀
1,대학본부,,3,302,총무팀
1,대학본부,,3,303,사무처장실
1,대학본부,,3,306,모유수유실
1,대학본부,,3,307,회의실
1,대학본부,,3,308,국제지원팀
1,대학본부,,3,311,전략평가팀
1,대학본부,,3,312,기획평가과/대학혁신사업팀
1,대학본부,,3,314,기획예산처장/부처장실
1,대학본부,,4,401-1,캠퍼스기획안전본부장실
1,대학본부,,4,401-2,학생취업처장실
1,대학본부,,4,402,대외협력처장실
1,대학본부,,4,403,대외협력과
1,대학본부,,4,404,처장단 회의실
1,대학본부,,4,405,브리핑룸
1,대학본부,,4,408,홍보팀
1,대학본부,,4,409,창고
1,대학본부,,4,411,미래전략기획실
1,대학본부,,4,412,발전기금사무실
1,대학본부,,4,413,인력개발팀
1,대학본부,,5,501,비서실
1,대학본부,,5,502,접견실 및 회의실
1,대학본부,,5,503,교학부총장실
1,대학본부,,5,504,대외협력부총장실
1,대학본부,,5,504A,휴게실
1,대학본부,,5,505,발전기금상임이사실
1,대학본부,,5,506,총장실
1,대학본부,,5,507,영상회의실
1,대학본부,,5,508,평의원회의장실
1,대학본부,,5,509,상임감사실
1,대학본부,,5,510,법률상담실
1,대학본부,,5,512,법인지원팀
1,대학본부,,5,513,접견실
1,대학본부,,5,514,이사장실
2,교수회관,,1,101,교수회실
2,교수회관,,1,106,다목적실
2,교수회관,,1,108,경비실
2,교수회관,,2,201,교직원식당
2,교수회관,,2,202,주방
2,교수회관,,2,203,창고-1
2,교수회관,,2,204,종업원휴게실
2,교수회관,,2,205,사무실
2,교수회관,,2,208,학장실
2,교수회관,,2,209,연구기획관리과/연구윤리행정지원센터/연구부처장실
2,교수회관,,2,210,행장사무실
2,교수회관,,2,211,학장실
2,교수회관,,2,212,교학실
2,교수회관,,2,213-1,연구처장실
2,교수회관,,2,231-2,회의실
2,교수회관,,3,301,레스토랑
2,교수회관,,3,302,주방
2,교수회관,,3,303,주방창고
2,교수회관,,3,305,대회의실
3,INU CUBE,,1,101,홍보관
3,INU CUBE,,2,201,홍보관
4,정보전산원,SC,1,101,전산실습실-3
4,정보전산원,SC,1,102,전산실습실-4
4,정보전산원,SC,1,103,교수연구실
4,정보전산원,SC,1,104,전산실습실-1
4,정보전산원,SC,1,105,전산실습실-2
4,정보전산원,SC,1,106,Maker Space
4,정보전산원,SC,1,107,사무실
4,정보전산원,SC,1,108,원장실
4,정보전산원,SC,1,109,실습실-2
4,정보전산원,SC,2,201,강사대기실
4,정보전산원,SC,2,202,입시지원실
4,정보전산원,SC,2,203,개발실
4,정보전산원,SC,2,204,시스템운영실
4,정보전산원,SC,2,205,자료실
