학수번호,건물,강의실,시간,교과목,종류
0006154001,ZZ,102,"월(1)(2)(3)(4)(5)(6)(7)(8)(9),화(1)(2)(3)(4)(5)(6)(7)(8)(9),수(1)(2)(3)(4)(5)(6)(7)(8)(9),목(1)(2)(3)(4)(5)(6)(7)(8)(9),금(1)(2)(3)(4)(5)(6)(7)(8)(9)",현장교육.실습(Ⅴ-1),국어국문학과
0009062012,15,503,월(야1-2A)(야2B-3),RISE,국어국문학과
0004890001,15,120,금(4-5A)(5B-6),문학과문화,국어국문학과
0004890002,15,503,금(7-8A)(8B-9),문학과문화,국어국문학과
0004894001,15,503,수(5B-6)(7-8A),한자와생활,국어국문학과
0004894002,15,503,목(2B-3)(4-5A),한자와생활,국어국문학과
0004905001,15,503,화(2B-3) 수(8B-9),한국어논리와표현,국어국문학과
0004905002,15,503,수(2B-3) 목(8B-9),한국어논리와표현,국어국문학과
0000540001,15,120,화(1-2A)(2B-3),1급한국어(1),국어국문학과
0000540002,15,503,화(7-8A) 목(7-8A),1급한국어(1),국어국문학과
0000542001,15,115,수(4-5A)(5B-6),2급한국어(1),국어국문학과
0000545001,15,115,월(1-2A)(2B-3),3급한국어(1),국어국문학과
0000545002,15,119,월(1-2A)(2B-3),3급한국어(1),국어국문학과
0000549001,15,120,목(4-5A)(5B-6),2급한국어연습(1),국어국문학과
0000550001,15,120,화(4-5A)(5B-6),1급한국어연습(1),국어국문학과
0000551001,15,115,수(1-2A)(2B-3),3급한국어연습(1),국어국문학과
0000551002,15,120,수(4-5A)(5B-6),3급한국어연습(1),국어국문학과
0004874001,15,119,월(8B-9) 수(8B-9),고전문학사,국어국문학과
0008651001,15,119,화(2B-3) 목(2B-3),한국어문법의이해,국어국문학과
0000534001,15,120,화(7-8A)(8B-9),5급한국어(1),국어국문학과
0000538001,15,120,금(7-8A)(8B-9),5급한국어연습(1),국어국문학과
0000546001,15,120,월(1-2A)(2B-3),4급한국어(1),국어국문학과
0000548001,15,120,수(1-2A)(2B-3),4급한국어연습(1),국어국문학과
0008650001,15,503,"화(8B-9),수(4-5A)",구술문학의이해,국어국문학과
0010494001,15,503,"화(5B-6),목(5B-6)",한국어교육의이해,국어국문학과
0010768001,15,503,금(4-5A)(5B-6),소설창작연습,국어국문학과
AIA6043001,15,119,월(7-8A) 목(7-8A),현대소설론,국어국문학과
0004872001,15,115,목(7-8A)(8B-9),한국어자료와한국어의역사,국어국문학과
0004876001,15,119,수(2B-3) 월 (1-2A),현대시인론,국어국문학과
0004912001,15,119,금(4-5A)(5B-6),한국어표현교육론,국어국문학과
0006412001,15,120,금(1-2A)(2B-3),한국어의 이해,국어국문학과
0006413001,15,115,금(4-5A)(5B-6),한국어 이해의 기초(1),국어국문학과
0006413002,15,115,수(7-8A)(8B-9),한국어 이해의 기초(1),국어국문학과
0006413003,15,119,금(1-2A)(2B-3),한국어 이해의 기초(1),국어국문학과
0006414001,15,115,금(1-2A)(2B-3),한국어 표현의 기초(1),국어국문학과
0006414002,15,115,금(7-8A)(8B-9),한국어 표현의 기초(1),국어국문학과
0006415001,15,120,수(7-8A)(8B-9),한국 언어문화 입문(1),국어국문학과
0008655001,15,119,목(4-5A)(5B-6),현대작가의이해,국어국문학과
0009347001,15,119,"화(7-8A),수(7-8A)",문학과문화콘텐츠,국어국문학과
0006417001,15,120,목(1-2A)(2B-3),한국어 표현의 심화(1),국어국문학과
0006763001,15,119,금(7-8A)(8B-9),저널리즘 글쓰기,국어국문학과
AIA6104001,15,503,금(1-2A)(2B-3),한국어학특강,국어국문학과
AIB6094001,15,403,월(1) 화(1),영어회화(2),영어영문학과
AIB6094002,15,403,수(1) 목(4),영어회화(2),영어영문학과
AIB6094003,15,116,월(1) 화(1),영어회화(2),영어영문학과
AIB6094004,15,116,수(1) 목(4),영어회화(2),영어영문학과
AIB6095001,15,116,월(4) 화(4),영작문(1),영어영문학과
AIB6095002,15,116,수(4) 목(6),영작문(1),영어영문학과
AIB6095003,15,405,월(3)(4),영작문(1),영어영문학과
AIB6095004,15,403,수(3)(4),영작문(1),영어영문학과
0006950001,15,116,수(7-8A) 금(7-8A),전공글쓰기,영어영문학과
AIB6092001,15,403,월(7-8A) 목(7-8A),영미문학의이해,영어영문학과
AIB6104001,ZZ,200,화(2B-3) 금(2B-3),실용영어(2),영어영문학과
AIB6013001,15,317,수(7) 월(7),영작문(3),영어영문학과
AIB6014001,15,116,목(1) 금(1),영어회화(4),영어영문학과
AIB6008001,15,116,화(4-5A) 금(7-8A),미국문학사,영어영문학과
AIB6008002,15,403,화(8B-9) 금(8B-9),미국문학사,영어영문학과
AIB6009001,15,403,월(5B-6) 목(5B-6),영어음성학,영어영문학과
0006948001,15,116,화(2B-3) 목(2B-3),근대영국소설,영어영문학과
0009409001,15,403,"화(5B-6),금(5B-6)",코퍼스영어학,영어영문학과
0009840001,15,403,"화(7-8A),수(5B-6)",고전문학세미나,영어영문학과
AIB6010001,15,116,"월(2B-3),수(2B-3)",영어구문론,영어영문학과
AIB6085001,15,317,"화(6), 목(1)",중급영어회화(2),영어영문학과
0000349001,15,116,"월(5B-6),목(5B-6)",영어교과교육론,영어영문학과
0004455001,15,403,"화(2B-3),목(4-5A)",셰익스피어,영어영문학과
0010774001,15,403,"월(2B-3),화(4-5A)",영어의역사,영어영문학과
0010774002,15,116,"화(7-8A),목(7-8A)",영어의역사,영어영문학과
0010775001,15,403,"월(4),수(7)(8)",문학비평이론과실습종합설계,영어영문학과
0010776001,15,116,월(7-8A) 목(2B-3),영어담화의이해,영어영문학과
0004285001,15,116,화(5B-6)금(4-5A),영미문학과 영화,영어영문학과
AIB6102001,15,403,금(2)(3),실무영어회화,영어영문학과
0009062015,,,,RISE,독어독문학과
0009062016,,,,RISE,독어독문학과
0009062017,,,,RISE,독어독문학과
0009364001,15,103,금(2)(3),초급독일어회화A1 2,독어독문학과
0009364002,15,103,금(5)(6),초급독일어회화A1 2,독어독문학과
0009365001,15,103,수(8)(9) 월(3)(4),초급독일어A1 2,독어독문학과
0009365002,15,103,수(6)(7) 월(7)(8),초급독일어A1 2,독어독문학과
AIE6002001,15,502,"월(5B-6),수(2B-3)",독일문학개론,독어독문학과
AIE6081001,15,502,"월(2),목(5)(6)",독일어권의문화예술,독어독문학과
0009366001,15,103,수(2)(3) 금(2)(3),중급독일어 A2 2,독어독문학과
0009366002,15,103,수(4)(5) 목(2)(3),중급독일어 A2 2,독어독문학과
0009367001,15,103,목(4)(5),중급독일어회화 A2 2,독어독문학과
0009367002,15,103,목(7)(8),중급독일어회화 A2 2,독어독문학과
0009357001,15,103,"월(5B-6),화(5B-6)",독어학개론,독어독문학과
AIE6054001,15,103,화(7-8A)금(5B-6),독일어권지역학,독어독문학과
AIE6068001,15,103,월(1-2A)(2B-3),독일문학과영화,독어독문학과
AIE6069001,15,113,수(7-8A)화(2B-3),독일문학사조연구,독어독문학과
0002700001,15,502,수(7-8A)(8B-9),지역학의이론과실제,독어독문학과
0009369001,15,306,"월(2B-3),수(2B-3)",독일시입문,독어독문학과
0009370001,15,306,화(2B-3)(4-5A),고급독일어회화 B1 2,독어독문학과
AIE6052001,15,502,화(6)(7)(8),통상독일어,독어독문학과
AIE6065001,15,103,월(4-5A)수(4-5A),그리스신화와유럽문화,독어독문학과
AIE6070001,15,502,목(7-8A)(8B-9),독일의공연예술,독어독문학과
0002703001,15,103,"화(2B-3),목(2B-3)",번역실습,독어독문학과
0010782001,15,103,월(7-8A)화(7-8A),학술독일어,독어독문학과
0007801001,15,501,화(9),자기설계세미나II,불어불문학과
0007801002,15,101,화(9),자기설계세미나II,불어불문학과
0007801003,15,306,화(9),자기설계세미나II,불어불문학과
AIF6143001,15,101,금(7)(8)월(2)(3),기초프랑스어(2),불어불문학과
AIF6143002,15,101,금(5)(6)화(3)(4),기초프랑스어(2),불어불문학과
0007835001,15,501,"월(7-8A),목(4-5A)",프랑스 명저의 이해 2,불어불문학과
AIF6145001,15,101,화(5B-6)목(2B-3),기초프랑스어회화(2),불어불문학과
AIF6145002,15,101,금(2B-3)월(5B-6),기초프랑스어회화(2),불어불문학과
AIF6154001,15,101,"월(4-5A),수(4-5A)",프랑스문학입문,불어불문학과
0007868001,15,101,월(5B-6)금(2B-3),프랑스어문법과 작문2,불어불문학과
0007872001,15,501,화(5B-6)(7-8A),프랑스문학강독2,불어불문학과
AIF6014001,15,101,수(5B-6)금(5B-6),프랑스어회화(2),불어불문학과
AIF6014002,15,101,수(2B-3)금(7-8A),프랑스어회화(2),불어불문학과
0004927001,15,306,금(4-5A)(5B-6),프랑스어의구조와의미,불어불문학과
